tomo_id,Number of motors
tomo_651ecd,1
tomo_6521dc,0
tomo_656915,1
tomo_6607ec,0
tomo_66285d,1
tomo_672101,1
tomo_6733fa,1
tomo_675583,1
tomo_67565e,1
tomo_676744,1
tomo_67717e,2
tomo_67717e,2
tomo_67ff4e,0
tomo_68e123,1
tomo_692081,0
tomo_6943e6,0
tomo_69d7c9,0
tomo_6a6a3b,0
tomo_6a84b7,0
tomo_6acb9e,1
tomo_6b1fd3,0
tomo_6bb452,0
tomo_6bc974,1
tomo_6c203d,1
tomo_6c4df3,0
tomo_6c5a26,1
tomo_6cb0f0,1
tomo_6cf2df,2
tomo_6cf2df,2
tomo_6d22d1,1
tomo_6df2d6,1
tomo_6e196d,0
tomo_6e237a,1
tomo_6f0ee4,1
tomo_6f2c1f,1
tomo_6f83d4,1
tomo_7036ee,1
tomo_711fad,0
tomo_71d2c0,0
tomo_71ece1,1
tomo_72763e,1
tomo_72b187,0
tomo_73173f,1
tomo_736dfa,0
tomo_738500,1
tomo_746d88,0
tomo_754447,2
tomo_754447,2
tomo_7550f4,1
tomo_769126,1
tomo_76a42b,1
tomo_774aae,0
tomo_78b03d,0
tomo_79756f,1
tomo_79a385,1
tomo_79d622,1
tomo_7a49bd,0
tomo_7a9b64,1
tomo_7b1ee3,1
tomo_7ca7c0,3
tomo_7ca7c0,3
tomo_7ca7c0,3
tomo_7cf523,0
tomo_7dc063,0
tomo_7dcfb8,0
tomo_7e3494,0
tomo_7eb641,0
tomo_7f0184,1
tomo_7fa3b1,0
tomo_7fbc49,1
tomo_806a8f,1
tomo_80bf0f,0
tomo_813916,0
tomo_81445c,1
tomo_8174f5,0
tomo_821255,0
tomo_823bc7,1
tomo_82d780,1
tomo_8351d1,0
tomo_84997e,1
tomo_8554af,1
tomo_85708b,0
tomo_85edfd,0
tomo_85fa87,1
tomo_8634ee,0
tomo_868255,1
tomo_881d84,1
tomo_88af60,0
tomo_891730,1
tomo_891afe,0
tomo_89d156,1
tomo_8acc4b,0
tomo_8b6795,1
tomo_8c13d9,1
tomo_8d231b,0
tomo_8d2d48,4
tomo_8d2d48,4
tomo_8d2d48,4
tomo_8d2d48,4
tomo_8d5995,0
tomo_8e30f5,0
tomo_8e4919,0
tomo_8e4f7d,1
tomo_8e58f1,1
tomo_8e8368,1
tomo_8e90f9,1
tomo_8ee8fd,0
tomo_8f063a,1
tomo_8f4d60,1
tomo_8f5995,1
tomo_91031e,0
tomo_918e2b,1
tomo_91beab,0
tomo_91c84c,1
tomo_935ae0,1
tomo_935f8a,0
tomo_93c0b4,1
tomo_94a841,0
tomo_94c173,1
tomo_957567,0
tomo_95c0eb,0
tomo_95e699,1
tomo_9674bf,1
tomo_971966,0
tomo_9722d1,2
tomo_9722d1,2
tomo_974fd4,0
tomo_975287,0
tomo_97876d,0
tomo_97a2c6,1
tomo_983fce,0
tomo_98686a,1
tomo_98d455,1
tomo_997240,2
tomo_997240,2
tomo_997437,1
tomo_9986f0,1
tomo_9997b3,1
tomo_99a3ce,1
tomo_9a7701,6
tomo_9a7701,6
tomo_9a7701,6
tomo_9a7701,6
tomo_9a7701,6
tomo_9a7701,6
tomo_9ae65f,0
tomo_9aee96,0
tomo_9c0253,1
tomo_9cd09e,1
tomo_9cde9d,0
tomo_9d3a0e,1
tomo_9dbc12,0
tomo_9ed470,1
tomo_9f1828,1
tomo_9f222a,1
tomo_9f424e,0
tomo_9f918e,0
tomo_9fc2b6,1
tomo_a020d7,1
tomo_a0cb00,1
tomo_a1a9a3,1
tomo_a2a928,0
tomo_a2bf30,1
tomo_a37a5c,1
tomo_a3ed10,0
tomo_a46b26,1
tomo_a4c52f,1
tomo_a4f419,0
tomo_a537dd,1
tomo_a549d6,2
tomo_a549d6,2
tomo_a5ac23,2
tomo_a5ac23,2
tomo_a6646f,0
tomo_a67e9f,1
tomo_a72a52,0
tomo_a75c98,1
tomo_a8073d,3
tomo_a8073d,3
tomo_a8073d,3
tomo_a81e01,1
tomo_a84050,2
tomo_a84050,2
tomo_a8bf76,1
tomo_a910fe,1
tomo_a9d067,3
tomo_a9d067,3
tomo_a9d067,3
tomo_aaa1fd,0
tomo_ab30af,0
tomo_ab78d0,0
tomo_ab804d,0
tomo_abac2e,1
tomo_abb45a,1
tomo_abbd3b,0
tomo_ac4f0d,0
tomo_ac9fef,0
tomo_acadd7,1
tomo_adc026,1
tomo_ae347a,2
tomo_ae347a,2
tomo_aeaf51,0
tomo_aec312,2
tomo_aec312,2
tomo_aff073,0
tomo_b03f81,1
tomo_b0ded6,2
tomo_b0ded6,2
tomo_b0e5c6,1
tomo_b10aa4,0
tomo_b11ddc,0
tomo_b18127,0
tomo_b24f1a,0
tomo_b28579,0
tomo_b2b342,0
tomo_b2eb0c,0
tomo_b2ebbc,1
tomo_b33d4e,2
tomo_b33d4e,2
tomo_b4a1f0,4
tomo_b4a1f0,4
tomo_b4a1f0,4
tomo_b4a1f0,4
tomo_b4d92b,1
tomo_b4d9da,0
tomo_b50c0f,1
tomo_b54396,1
tomo_b7becf,0
tomo_b7d014,2
tomo_b7d014,2
tomo_b7d94c,1
tomo_b80310,1
tomo_b8595d,0
tomo_b87c8e,0
tomo_b8f096,1
tomo_b9088c,0
tomo_b93a2d,0
tomo_b98cf6,0
tomo_b9de3e,0
tomo_b9eb9a,0
tomo_ba37ec,1
tomo_ba76d8,0
tomo_ba9b3d,1
tomo_bad724,0
tomo_bad7b3,2
tomo_bad7b3,2
tomo_bb5ac1,0
tomo_bb9df3,1
tomo_bbe766,1
tomo_bc143f,0
tomo_bcb115,0
tomo_bd42fa,0
tomo_bdc097,0
tomo_bdd3a0,1
tomo_bde7f3,1
tomo_be4a3a,1
tomo_be9b98,0
tomo_bebadf,1
tomo_bede89,1
tomo_bf1398,2
tomo_bf1398,2
tomo_bfd5ea,0
tomo_bfdf19,0
tomo_c00ab5,1
tomo_c10f64,0
tomo_c11e12,1
tomo_c13fbf,0
tomo_c3619a,0
tomo_c36b4b,0
tomo_c36baf,1
tomo_c38e83,0
tomo_c46d3c,1
tomo_c4a4bb,1
tomo_c4bfe2,0
tomo_c4db00,0
tomo_c596be,0
tomo_c649f8,1
tomo_c678d9,1
tomo_c6f50a,0
tomo_c77de0,0
tomo_c7a40f,0
tomo_c7b008,1
tomo_c84b46,0
tomo_c84b8e,2
tomo_c8f3ce,1
tomo_c925ee,0
tomo_c9d07c,0
tomo_ca1d13,1
tomo_ca472a,0
tomo_ca8be0,0
tomo_cabaa0,0
tomo_cacb75,1
tomo_cad74b,3
tomo_cad74b,3
tomo_cad74b,3
tomo_cae587,0
tomo_cb5ec6,0
tomo_cc2b5c,1
tomo_cc3fc4,1
tomo_cc65a9,1
tomo_cd1a7c,1
tomo_cf0875,1
tomo_cf53d0,1
tomo_cf5bfc,0
tomo_cff77a,1
tomo_d0699e,0
tomo_d0aa3b,1
tomo_d0c025,1
tomo_d0d9b6,0
tomo_d21396,1
tomo_d23087,1
tomo_d2339b,1
tomo_d26fcb,1
tomo_d2b1bc,1
tomo_d31c96,0
tomo_d396b5,1
tomo_d3bef7,1
tomo_d5465a,0
tomo_d56709,2
tomo_d56709,2
tomo_d5aa20,0
tomo_d634b7,1
tomo_d662b0,6
tomo_d662b0,6
tomo_d662b0,6
tomo_d662b0,6
tomo_d662b0,6
tomo_d662b0,6
tomo_d6c63f,1
tomo_d6e3c7,0
tomo_d723cd,0
tomo_d7475d,1
tomo_d83ff4,1
tomo_d84544,1
tomo_d8c917,0
tomo_d916dc,1
tomo_d96d6e,0
tomo_d9a2af,1
tomo_da38ea,1
tomo_da79d8,4
tomo_da79d8,4
tomo_da79d8,4
tomo_da79d8,4
tomo_dae195,0
tomo_db2a10,0
tomo_db4517,1
tomo_db6051,0
tomo_db656f,1
tomo_dbc66d,0
tomo_dc9a96,0
tomo_dcb9b4,1
tomo_dd36c9,0
tomo_decb81,1
tomo_dee783,0
tomo_df866a,0
tomo_dfc627,1
tomo_dfdc32,0
tomo_e0739f,0
tomo_e1a034,0
tomo_e1e5d3,1
tomo_e22370,3
tomo_e22370,3
tomo_e22370,3
tomo_e26c6b,1
tomo_e2a336,0
tomo_e2ccab,1
tomo_e2da77,0
tomo_e32b81,0
tomo_e34af8,1
tomo_e3864f,0
tomo_e50f04,0
tomo_e51e5e,1
tomo_e55f81,0
tomo_e57baf,1
tomo_e5a091,0
tomo_e5ac94,1
tomo_e61cdf,1
tomo_e63ab4,1
tomo_e685b8,1
tomo_e6f7f7,2
tomo_e71210,1
tomo_e72e60,0
tomo_e764a7,0
tomo_e77217,0
tomo_e7c195,0
tomo_e81143,0
tomo_e8db69,0
tomo_e96200,0
tomo_e9b7f2,0
tomo_e9fa5f,0
tomo_ea3f3a,1
tomo_eb26ee,0
tomo_eb4fd4,1
tomo_ec1314,1
tomo_ec607b,2
tomo_ec607b,2
tomo_ecbc12,0
tomo_ed1c97,1
tomo_ede779,1
tomo_ef1a1a,0
tomo_efe1f8,1
tomo_f07244,0
tomo_f0adfc,1
